Round,Date,Class,Session,Driver,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
Round 4,2025-10-11,2-Stroke,F,Scott Smith,1:07.542,1:05.728,1:05.404,1:05.054,1:03.661,1:04.124,1:05.791,1:06.502,1:05.696,1:06.238,,,,
Round 4,2025-10-11,2-Stroke,F,Giovanni Blackerby,1:07.561,1:05.626,,,,,,,,,,,,
Round 4,2025-10-11,2-Stroke,F,Chris Stephens,1:08.890,1:05.694,1:05.220,1:04.933,1:04.950,1:05.416,1:05.899,1:05.636,1:05.874,1:05.072,,,,
Round 5,2025-10-12,Mini/Cadet,P,Logan Pollack,1:14.679,1:12.474,1:11.512,1:10.993,1:11.810,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Anthony Ciofani,1:14.500,1:11.991,1:11.729,1:11.572,1:11.692,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Ashlyn Taylor,1:13.244,1:13.310,1:12.190,1:12.012,1:12.357,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Lucas Schreiber,1:12.275,1:11.740,1:11.887,1:11.388,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Aiden Harbaugh,1:14.012,1:18.219,1:10.217,1:10.124,1:15.041,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Dominic Borelli,1:27.139,1:24.245,1:23.318,1:26.336,,,,,,,,,,
Round 5,2025-10-12,Kid Kart,P,Gunner Surace,1:54.333,1:45.137,,,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Jenson Janda,1:09.483,,,,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Gavin Patterson,1:10.245,,,,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Colin Schreiber,1:02.345,1:02.413,,,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Giovanni Blackerby,1:02.411,1:02.571,,,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Kristopher Mccrone,1:10.438,,,,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Anna Mccrone,1:08.529,1:08.788,,,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Ashlyn Taylor,1:08.000,1:08.093,,,,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Eric Baun,1:12.525,1:12.174,1:11.432,1:11.616,,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Kyle Davis,1:12.984,1:13.750,1:11.598,,,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Cameron Dovgan,1:14.391,1:13.871,1:16.668,1:13.496,,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Scott Smith,1:11.990,1:12.220,1:12.962,1:11.800,,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Galvin Dovgan,1:11.901,1:17.346,1:11.134,1:10.187,,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Chris Stephens,1:04.604,1:03.773,1:03.854,1:04.138,1:03.908,,,,,,,,,
Round 5,2025-10-12,Kid Kart,P,Gunner Surace,2:00.877,1:53.595,,,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Joseph Panico,1:11.304,1:11.798,1:11.166,1:10.863,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Logan Pollack,1:11.457,1:10.845,1:11.606,1:10.761,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Anthony Ciofani,1:11.496,1:10.880,1:11.640,1:10.773,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Ashlyn Taylor,1:12.210,1:12.062,1:12.086,1:11.973,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Lucas Schreiber,1:12.275,1:12.334,1:12.391,1:11.297,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Aiden Harbaugh,1:11.155,1:11.854,1:24.029,1:11.102,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,P,Dominic Borelli,1:23.326,1:20.305,1:20.722,1:22.237,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Jenson Janda,1:10.771,1:10.139,1:09.274,1:13.130,1:09.177,,,,,,,,,
Round 5,2025-10-12,Junior,P,Gavin Patterson,1:11.628,1:10.586,1:09.935,1:14.039,1:09.505,,,,,,,,,
Round 5,2025-10-12,Junior,P,Colin Schreiber,1:02.397,1:02.430,1:02.462,1:01.929,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Giovanni Blackerby,1:02.628,1:02.293,1:02.236,1:02.606,,,,,,,,,,
Round 5,2025-10-12,Junior,P,Kristopher Mccrone,1:10.723,1:09.661,1:10.060,1:11.319,1:10.989,,,,,,,,,
Round 5,2025-10-12,Junior,P,Anna Mccrone,1:08.849,1:09.169,1:09.610,1:08.876,1:08.829,1:09.258,,,,,,,,
Round 5,2025-10-12,Junior,P,Ashlyn Taylor,1:07.992,1:08.117,1:08.150,1:07.945,1:07.631,1:08.224,,,,,,,,
Round 5,2025-10-12,Junior,P,Lucas Mccrone,1:08.300,1:08.236,1:08.614,1:08.213,1:08.487,1:08.619,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Eric Baun,1:11.043,1:10.820,1:11.465,1:10.961,1:11.961,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Kyle Davis,1:11.533,1:10.957,1:10.648,1:10.245,1:10.450,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Scott Smith,1:11.720,1:11.643,1:11.654,1:10.989,1:11.062,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Galvin Dovgan,1:10.744,1:11.311,1:12.101,1:11.023,1:10.530,,,,,,,,,
Round 5,2025-10-12,Senior/Master,P,Chris Stephens,1:04.613,1:04.676,1:04.192,1:04.306,1:05.422,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,Q,Joseph Panico,1:10.499,1:10.568,1:11.161,,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,Q,Logan Pollack,1:10.853,1:10.960,1:10.610,,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,Q,Anthony Ciofani,1:10.790,1:11.020,1:10.613,,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,Q,Ashlyn Taylor,1:12.070,1:11.894,1:11.730,,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,Q,Lucas Schreiber,1:11.718,1:11.709,1:12.125,,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,Q,Aiden Harbaugh,1:16.186,1:11.081,1:10.537,,,,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,Q,Dominic Borelli,1:24.370,1:19.498,1:16.969,,,,,,,,,,,
Round 5,2025-10-12,206 Senior/Masters,Q,Eric Baun,1:10.870,1:10.832,1:10.972,,,,,,,,,,,
Round 5,2025-10-12,206 Senior/Masters,Q,Kyle Davis,1:11.012,1:11.089,1:10.866,,,,,,,,,,,
Round 5,2025-10-12,206 Senior/Masters,Q,Chad Karnik,1:17.744,1:15.343,1:15.436,,,,,,,,,,,
Round 5,2025-10-12,206 Senior/Masters,Q,Cj Karnik,1:44.447,1:16.120,,,,,,,,,,,,
Round 5,2025-10-12,206 Senior/Masters,Q,Cameron Dovgan,1:13.828,1:17.268,1:13.001,,,,,,,,,,,
Round 5,2025-10-12,206 Senior/Masters,Q,Scott Smith,1:11.153,1:10.681,1:10.755,,,,,,,,,,,
Round 5,2025-10-12,206 Senior/Masters,Q,Galvin Dovgan,1:10.406,1:09.576,1:10.149,,,,,,,,,,,
Round 5,2025-10-12,206/T4 Junior,Q,Jenson Janda,1:10.053,1:16.342,1:09.119,,,,,,,,,,,
Round 5,2025-10-12,206/T4 Junior,Q,Gavin Patterson,1:10.978,1:10.385,1:09.703,,,,,,,,,,,
Round 5,2025-10-12,206/T4 Junior,Q,Kristopher Mccrone,1:07.908,1:08.012,1:07.897,,,,,,,,,,,
Round 5,2025-10-12,206/T4 Junior,Q,Anna Mccrone,1:08.403,1:09.453,1:09.037,,,,,,,,,,,
Round 5,2025-10-12,206/T4 Junior,Q,Ashlyn Taylor,1:08.328,1:07.868,1:07.625,,,,,,,,,,,
Round 5,2025-10-12,206/T4 Junior,Q,Lucas Mccrone,1:07.708,1:07.431,1:09.405,,,,,,,,,,,
Round 5,2025-10-12,2-Stroke,Q,Chris Stephens,1:05.162,1:04.684,1:04.480,,,,,,,,,,,
Round 5,2025-10-12,2-Stroke,Q,Ian Quinn,1:01.397,1:01.771,1:01.607,,,,,,,,,,,
Round 5,2025-10-12,2-Stroke,Q,Colin Schreiber,1:02.143,1:01.863,1:02.093,,,,,,,,,,,
Round 5,2025-10-12,2-Stroke,Q,Giovanni Blackerby,1:02.431,1:01.997,1:01.894,,,,,,,,,,,
Round 5,2025-10-12,Kid Kart,H1,Gunner Surace,1:46.969,1:58.489,1:57.466,2:06.038,2:13.562,2:13.933,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,H1,Joseph Panico,1:11.822,1:12.520,1:11.119,1:11.134,1:11.226,1:12.082,1:10.982,,,,,,,
Round 5,2025-10-12,Mini/Cadet,H1,Aiden Harbaugh,1:11.979,1:12.382,1:11.109,1:11.492,1:10.835,1:12.502,1:10.882,,,,,,,
Round 5,2025-10-12,Mini/Cadet,H1,Logan Pollack,1:11.072,1:12.419,1:11.099,1:13.325,1:10.794,1:11.643,1:10.875,,,,,,,
Round 5,2025-10-12,Mini/Cadet,H1,Anthony Ciofani,1:11.814,1:12.136,1:10.954,1:11.487,1:11.071,1:12.305,1:10.958,,,,,,,
Round 5,2025-10-12,Mini/Cadet,H1,Lucas Schreiber,1:12.354,1:13.925,1:11.617,1:11.590,1:11.390,1:11.743,1:11.270,,,,,,,
Round 5,2025-10-12,Mini/Cadet,H1,Ashlyn Taylor,1:11.956,1:12.923,1:11.620,1:12.012,1:12.032,1:11.467,1:11.834,,,,,,,
Round 5,2025-10-12,Mini/Cadet,H1,Dominic Borelli,1:21.294,1:17.093,1:20.361,1:17.776,1:18.722,1:17.339,1:14.674,,,,,,,
Round 5,2025-10-12,Mini/Cadet,H1,Grayson Miller,1:16.547,1:16.501,1:16.176,1:17.698,1:16.897,1:23.795,,,,,,,,
Round 5,2025-10-12,206 Senior/Masters,H1,Galvin Dovgan,1:14.436,1:10.704,1:10.249,1:10.239,1:10.322,1:10.417,1:10.045,1:09.999,1:10.025,1:10.192,,,,
Round 5,2025-10-12,206 Senior/Masters,H1,Scott Smith,1:16.051,1:10.546,1:11.711,1:11.084,1:10.917,1:10.204,1:11.437,1:11.688,1:11.000,1:10.880,,,,
Round 5,2025-10-12,206 Senior/Masters,H1,Eric Baun,1:14.608,1:10.700,1:10.307,1:10.508,1:10.587,1:10.889,1:10.757,1:11.138,1:10.600,1:10.844,,,,
Round 5,2025-10-12,206 Senior/Masters,H1,Kyle Davis,1:15.339,1:10.558,1:12.054,1:10.751,1:10.953,1:10.519,1:10.608,1:10.596,1:10.765,1:11.063,,,,
Round 5,2025-10-12,206 Senior/Masters,H1,Cameron Dovgan,1:17.227,1:13.482,1:12.815,1:13.731,1:13.416,1:13.448,1:13.223,1:13.865,1:13.817,1:14.307,,,,
Round 5,2025-10-12,206 Senior/Masters,H1,Chad Karnik,1:18.570,1:14.520,1:14.610,1:14.593,1:14.667,1:14.677,1:14.627,1:14.842,1:13.924,1:14.874,,,,
Round 5,2025-10-12,206 Senior/Masters,H1,Cj Karnik,1:19.254,1:15.685,1:15.700,1:15.715,1:15.989,1:15.462,,,,,,,,
Round 5,2025-10-12,206/T4 Junior,H1,Lucas Mccrone,7:30.005,1:09.450,1:08.290,1:08.461,1:08.413,1:08.941,1:08.153,1:07.400,1:08.211,,,,,
Round 5,2025-10-12,206/T4 Junior,H1,Ashlyn Taylor,7:30.011,1:09.925,1:08.177,1:08.513,1:08.387,1:08.862,1:08.513,1:07.933,1:07.906,,,,,
Round 5,2025-10-12,206/T4 Junior,H1,Jenson Janda,7:29.713,1:11.155,1:09.137,1:09.404,1:09.169,1:09.244,1:09.197,1:08.918,1:09.008,,,,,
Round 5,2025-10-12,206/T4 Junior,H1,Gavin Patterson,7:29.902,1:12.154,1:09.775,1:09.593,1:09.324,1:09.796,1:09.608,1:09.564,1:09.885,,,,,
Round 5,2025-10-12,2-Stroke,H1,Ian Quinn,1:03.674,1:00.879,1:00.908,1:00.924,1:01.050,1:01.017,1:01.242,1:01.044,1:01.113,1:00.843,,,,
Round 5,2025-10-12,2-Stroke,H1,Colin Schreiber,1:06.992,1:02.788,1:03.402,1:03.028,1:02.395,1:02.870,1:02.675,1:02.773,1:03.082,1:02.988,,,,
Round 5,2025-10-12,2-Stroke,H1,Giovanni Blackerby,1:07.245,1:02.428,1:02.519,1:02.053,1:01.874,1:02.262,1:02.171,1:02.280,1:02.208,1:02.438,,,,
Round 5,2025-10-12,2-Stroke,H1,Chris Stephens,1:07.286,1:04.548,1:04.968,1:04.322,1:04.458,1:05.024,1:04.666,1:04.553,1:04.679,1:05.432,,,,
Round 5,2025-10-12,Kid Kart,H2,Gunner Surace,1:46.249,1:42.940,1:43.240,1:43.672,1:44.389,1:41.902,,,,,,,,
Round 5,2025-10-12,Mini/Cadet,H2,Dominic Borelli,1:17.595,1:15.718,1:20.114,1:14.973,1:17.685,1:18.916,1:17.479,1:17.851,,,,,,
Round 5,2025-10-12,Mini/Cadet,H2,Ashlyn Taylor,1:15.986,1:11.558,1:11.720,1:11.718,1:11.587,1:11.840,1:12.223,1:12.229,,,,,,
Round 5,2025-10-12,Mini/Cadet,H2,Lucas Schreiber,1:13.558,1:12.835,1:11.386,1:11.201,1:11.304,1:11.351,1:11.425,1:11.489,,,,,,
Round 5,2025-10-12,Mini/Cadet,H2,Anthony Ciofani,1:13.910,1:11.319,1:11.135,1:11.167,1:10.855,1:10.787,1:10.788,1:11.456,,,,,,
Round 5,2025-10-12,Mini/Cadet,H2,Logan Pollack,1:14.379,1:11.192,1:11.137,1:11.165,1:10.885,1:10.744,1:10.814,1:11.882,,,,,,
Round 5,2025-10-12,Mini/Cadet,H2,Aiden Harbaugh,1:15.166,1:11.115,1:10.725,1:11.091,1:11.059,1:10.668,1:11.679,1:11.356,,,,,,
Round 5,2025-10-12,Mini/Cadet,H2,Joseph Panico,1:13.837,1:11.058,1:11.210,1:11.163,1:10.903,1:11.151,1:10.928,1:11.090,,,,,,
Round 5,2025-10-12,Mini/Cadet,H2,Grayson Miller,1:19.289,1:16.083,1:18.508,1:15.706,1:15.467,,,,,,,,,
Round 5,2025-10-12,206 Senior/Masters,H2,Chad Karnik,1:19.122,1:16.349,1:14.809,1:15.033,1:14.590,1:14.391,1:14.766,1:15.021,1:14.289,1:14.258,,,,
Round 5,2025-10-12,206 Senior/Masters,H2,Cameron Dovgan,1:17.110,1:13.297,1:13.573,1:13.936,1:13.597,1:13.738,1:13.876,1:13.721,1:14.242,1:13.594,,,,
Round 5,2025-10-12,206 Senior/Masters,H2,Kyle Davis,1:14.213,1:10.952,1:12.294,1:10.633,1:10.393,1:10.222,1:10.421,1:10.240,1:10.225,1:11.128,,,,
Round 5,2025-10-12,206 Senior/Masters,H2,Eric Baun,1:15.219,1:10.401,1:11.804,1:12.049,1:11.511,1:11.194,1:10.361,1:10.768,1:11.220,1:10.794,,,,
Round 5,2025-10-12,206 Senior/Masters,H2,Galvin Dovgan,1:14.134,1:10.817,1:11.767,1:10.517,1:09.918,1:09.820,1:09.952,1:09.691,1:09.856,1:09.926,,,,
Round 5,2025-10-12,206/T4 Junior,H2,Gavin Patterson,1:12.715,1:10.323,1:10.946,1:10.185,1:09.434,1:10.008,1:09.674,1:09.716,1:10.052,1:09.674,,,,
Round 5,2025-10-12,206/T4 Junior,H2,Jenson Janda,1:13.008,1:10.074,1:10.092,1:09.175,1:09.308,1:09.123,1:09.129,1:09.144,1:08.934,1:08.918,,,,
Round 5,2025-10-12,206/T4 Junior,H2,Anna Mccrone,1:08.370,1:07.285,1:07.233,1:06.938,1:07.129,1:07.567,1:07.716,1:07.380,1:07.184,1:07.560,,,,
Round 5,2025-10-12,206/T4 Junior,H2,Kristopher Mccrone,1:09.739,1:08.062,1:08.458,1:08.390,1:08.132,1:09.138,1:08.134,1:07.899,1:07.796,1:08.836,,,,
Round 5,2025-10-12,206/T4 Junior,H2,Ashlyn Taylor,1:10.548,1:08.189,1:07.859,1:08.821,1:07.960,1:09.056,1:07.788,1:08.315,1:07.440,1:08.388,,,,
Round 5,2025-10-12,206/T4 Junior,H2,Lucas Mccrone,1:10.039,1:08.355,1:08.026,1:08.337,1:08.356,1:08.110,1:08.218,1:07.906,1:07.738,1:08.063,,,,
Round 5,2025-10-12,2-Stroke,H2,Chris Stephens,1:15.115,1:04.723,1:03.963,1:04.236,1:04.763,1:04.495,1:04.675,1:04.711,1:04.260,1:04.253,,,,
Round 5,2025-10-12,2-Stroke,H2,Giovanni Blackerby,1:04.562,1:02.784,1:01.963,1:01.927,1:01.992,1:01.865,1:01.752,1:02.281,1:01.908,1:01.894,,,,
Round 5,2025-10-12,2-Stroke,H2,Colin Schreiber,1:05.657,1:01.842,1:02.124,1:01.807,1:01.978,1:01.829,1:02.296,1:02.139,1:01.993,1:01.489,,,,
Round 5,2025-10-12,2-Stroke,H2,Ian Quinn,1:04.512,1:02.115,1:00.446,1:00.446,1:00.553,1:00.510,1:00.657,1:00.794,1:00.654,1:00.535,,,,
Round 5,2025-10-12,Mini/Cadet,F,Anthony Ciofani,1:13.977,1:10.785,1:10.523,1:10.185,1:10.199,1:10.255,1:11.293,1:10.487,1:10.695,1:10.594,,,,
Round 5,2025-10-12,Mini/Cadet,F,Aiden Harbaugh,1:14.143,1:11.009,1:10.826,1:10.367,1:10.090,1:09.870,1:11.002,1:10.492,1:11.783,1:10.149,,,,
Round 5,2025-10-12,Mini/Cadet,F,Logan Pollack,1:13.963,1:10.781,1:10.526,1:10.191,1:10.191,1:10.277,1:11.152,1:10.664,1:10.622,1:10.644,,,,
Round 5,2025-10-12,Mini/Cadet,F,Lucas Schreiber,1:14.752,1:11.233,1:11.012,1:10.825,1:11.181,1:11.399,1:10.777,1:10.873,1:11.060,1:11.417,,,,
Round 5,2025-10-12,Mini/Cadet,F,Ashlyn Taylor,1:15.124,1:11.800,1:11.806,1:11.768,1:11.970,1:11.814,1:12.438,1:11.644,1:11.941,1:12.023,,,,
Round 5,2025-10-12,Mini/Cadet,F,Dominic Borelli,1:18.124,1:17.039,1:19.336,1:18.946,1:16.343,1:17.115,1:18.383,1:15.971,1:17.655,,,,,
Round 5,2025-10-12,206 Senior/Masters,F,Galvin Dovgan,1:14.129,1:10.960,1:10.731,1:09.963,1:09.894,1:10.011,1:10.101,1:10.145,1:10.179,1:10.317,1:09.999,1:09.929,,
Round 5,2025-10-12,206 Senior/Masters,F,Kyle Davis,1:28.563,1:11.873,1:11.063,1:11.098,1:11.324,1:10.511,1:10.994,1:10.897,1:10.505,1:10.602,1:10.465,1:11.066,,
Round 5,2025-10-12,206 Senior/Masters,F,Eric Baun,1:13.991,1:11.169,1:11.423,1:10.686,1:10.706,1:10.705,1:10.603,1:11.795,1:11.040,1:11.181,1:10.299,1:10.483,,
Round 5,2025-10-12,206 Senior/Masters,F,Scott Smith,1:14.885,1:11.620,1:10.844,1:10.690,1:10.356,1:10.341,1:10.554,1:11.278,1:10.569,1:11.675,1:10.201,1:10.798,,
Round 5,2025-10-12,206 Senior/Masters,F,Chad Karnik,1:25.499,1:16.560,1:16.306,1:14.400,1:14.239,1:14.232,1:14.200,1:14.217,1:17.118,1:14.385,1:14.207,1:14.162,,
Round 5,2025-10-12,206 Senior/Masters,F,Cj Karnik,1:28.673,1:18.861,1:18.823,1:17.443,1:17.968,1:18.141,1:18.486,1:20.208,1:19.538,1:17.878,1:19.332,,,
Round 5,2025-10-12,206/T4 Junior,F,Lucas Mccrone,1:08.783,1:08.231,1:07.352,1:07.755,1:06.907,1:07.612,1:07.795,1:07.411,1:07.746,1:07.107,1:07.324,1:07.596,,
Round 5,2025-10-12,206/T4 Junior,F,Ashlyn Taylor,1:14.201,1:08.266,1:07.853,1:07.614,1:07.250,1:07.627,1:07.657,1:07.979,1:07.581,1:07.549,1:07.780,1:08.615,,
Round 5,2025-10-12,206/T4 Junior,F,Anna Mccrone,1:08.811,1:08.097,1:06.891,1:07.263,1:07.108,1:07.361,1:06.997,1:06.819,1:07.068,1:06.978,1:06.722,1:07.151,,
Round 5,2025-10-12,206/T4 Junior,F,Jenson Janda,1:13.236,1:10.428,1:09.297,1:09.036,1:09.097,1:09.006,1:08.873,1:08.918,1:08.601,1:08.472,1:08.617,1:08.627,,
Round 5,2025-10-12,206/T4 Junior,F,Gavin Patterson,1:14.062,1:10.204,1:09.785,1:09.406,1:09.160,1:09.352,1:09.703,1:09.446,1:09.245,1:09.344,1:09.206,1:09.299,,
Round 6,2025-10-18,Kid Kart,Q,Gunner Surace,1:45.060,,,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,Q,Remy Boss,1:12.409,1:12.073,1:12.209,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,Q,Logan Pollack,1:12.347,1:10.771,1:10.899,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,Q,Anthony Ciofani,1:11.073,1:10.372,1:10.611,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,Q,Harrison Bell,1:12.445,1:11.974,1:12.135,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,Q,Ashlyn Taylor,1:12.479,1:11.860,1:13.141,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,Q,Mason Maki,1:12.555,1:11.865,1:13.408,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,Q,Weston Davis,1:20.776,1:19.455,1:19.443,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,Q,Aiden Harbaugh,1:12.100,1:11.013,1:11.406,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,Q,Grayson Miller,1:23.946,1:17.231,1:16.947,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Kyle Davis,1:11.558,1:15.330,1:11.433,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Rocker Smith,1:14.102,1:13.791,1:13.884,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Alex Cullenen,1:11.568,1:11.500,1:12.033,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Robert Cottell,1:14.248,1:11.577,,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Chad Karnik,1:13.505,1:13.809,1:13.377,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Cj Karnik,1:14.474,1:14.244,1:13.840,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Brandon Bell,1:11.483,1:10.797,1:10.322,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Galvin Dovgan,1:10.700,1:10.126,1:10.296,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,James Stropko iv,1:09.947,1:09.872,1:10.058,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Blade Fountain,1:08.417,1:08.510,1:08.149,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Christopher Jones,1:12.725,1:11.796,1:11.138,,,,,,,,,,,
Round 6,2025-10-18,206 Junior,Q,Liam Sellery,1:12.250,1:11.476,,,,,,,,,,,,
Round 6,2025-10-18,206 Junior,Q,Gavin Patterson,1:10.284,1:09.993,1:09.709,,,,,,,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,Austin Harbaugh,1:19.449,1:16.107,1:26.005,,,,,,,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,Dominic Borelli,1:18.784,1:13.522,1:12.524,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Kristopher Mccrone,1:07.564,1:08.786,1:07.683,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Anna Mccrone,1:06.922,1:06.925,1:07.684,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Ashlyn Taylor,1:07.213,1:07.355,1:07.358,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Lucas Grucella,1:08.365,1:07.962,1:07.663,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Foster Smith,1:09.051,1:09.804,1:08.959,,,,,,,,,,,
Round 6,2025-10-18,2-Stroke,Q,William Richard,1:02.956,1:02.953,1:02.660,,,,,,,,,,,
Round 6,2025-10-18,2-Stroke,Q,Giovanni Blackerby,1:02.628,1:02.609,1:02.029,,,,,,,,,,,
Round 6,2025-10-18,2-Stroke,Q,Curtis Ziegler,1:11.300,1:10.102,1:10.313,,,,,,,,,,,
Round 6,2025-10-18,2-Stroke,Q,Remy Boss,1:09.563,1:08.576,1:08.790,,,,,,,,,,,
Round 6,2025-10-18,Kid Kart,H1,Remy Boss,1:29.009,1:29.471,1:28.829,1:27.620,1:28.124,,,,,,,,,
Round 6,2025-10-18,Kid Kart,H1,Gunner Surace,1:50.157,2:05.369,1:42.655,1:41.949,1:41.387,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Anthony Ciofani,1:13.142,1:10.622,1:11.036,1:10.523,1:10.904,1:10.525,1:10.788,1:11.070,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Logan Pollack,1:13.040,1:10.767,1:10.924,1:10.489,1:11.041,1:10.794,1:10.777,1:10.659,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Aiden Harbaugh,1:14.978,1:11.545,1:11.508,1:12.017,1:11.320,1:11.564,1:11.614,1:11.772,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Ashlyn Taylor,1:16.777,1:13.577,1:12.443,1:13.531,1:12.465,1:13.149,1:12.945,1:12.509,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Mason Maki,1:16.390,1:13.361,1:12.464,1:13.686,1:12.619,1:12.993,1:12.965,1:12.467,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Harrison Bell,1:13.691,1:11.452,1:11.312,1:11.466,1:11.773,1:11.473,1:11.295,1:11.533,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Remy Boss,1:15.317,1:13.591,1:12.733,1:13.338,1:12.696,1:13.118,1:12.834,1:12.790,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Grayson Miller,1:18.730,1:18.167,1:18.259,1:18.881,1:20.819,1:18.953,1:19.734,1:18.768,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Weston Davis,1:19.361,1:18.106,1:18.717,1:18.858,1:20.591,1:19.164,1:19.707,1:18.093,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Blade Fountain,1:12.241,1:08.872,1:08.095,1:08.430,1:08.243,1:08.315,1:08.147,1:08.439,1:08.376,1:08.789,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,James Stropko iv,1:12.144,1:10.083,1:09.894,1:09.862,1:09.913,1:09.929,1:10.040,1:09.835,1:09.930,1:09.983,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Galvin Dovgan,1:13.767,1:10.137,1:11.271,1:10.431,1:09.975,1:10.045,1:10.906,1:10.091,1:10.328,1:10.318,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Brandon Bell,1:14.010,1:10.337,1:10.597,1:10.616,1:10.473,1:10.351,1:11.848,1:11.211,1:10.268,1:10.895,,,,
