Round,Date,Class,Session,Pos,Kart#,Driver,Class Code,Laps,Avg Speed,Gap,Best Lap,Best On Lap,Team
Round 6,2025-10-18,206/T4 Senior/Masters,Q,DNS,488,Scott Smith,T4-380,0,,,,,M
Round 6,2025-10-18,206/T4 Senior/Masters,Q,1,014,Blade Fountain,,3,39.27 MPH,-,1:08.149,3,KartKru
Round 6,2025-10-18,206/T4 Senior/Masters,Q,2,777,James Stropko iv,,3,38.37 MPH,1.723,1:09.872,2,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,3,117,Galvin Dovgan,,3,38.15 MPH,1.977,1:10.126,2,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,Q,4,022,Christopher Jones,,3,37.34 MPH,2.989,1:11.138,3,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,1,444,Brandon Bell,,3,37.88 MPH,-,1:10.322,3,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,Q,2,16,Kyle Davis,,3,36.89 MPH,1.111,1:11.433,3,M
Round 6,2025-10-18,206/T4 Senior/Masters,Q,3,32,Alex Cullenen,,3,37.44 MPH,1.178,1:11.500,2,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,Q,4,074,Robert Cottell,,2,36.82 MPH,1.255,1:11.577,2,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,Q,5,314,Chad Karnik,,3,36.49 MPH,3.055,1:13.377,3,M
Round 6,2025-10-18,206/T4 Senior/Masters,Q,6,26,Rocker Smith,,3,36.31 MPH,3.469,1:13.791,2,Octane racing
Round 6,2025-10-18,206/T4 Senior/Masters,Q,7,339,Cj Karnik,,3,36.19 MPH,3.518,1:13.840,3,M
Round 6,2025-10-18,206/T4 Senior/Masters,Q,DNS,721,Cameron Dovgan,,0,,,,,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,Q,DNS,488,Scott Smith,,0,,,,,M
Round 6,2025-10-18,206 Junior,Q,1,54,Gavin Patterson,,3,38.35 MPH,,1:09.709,3,M
Round 6,2025-10-18,206 Junior,Q,2,43,Liam Sellery,,2,37.35 MPH,1.767,1:11.476,2,Privateer
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,1,25,Dominic Borelli,T4MIN,3,35.82 MPH,,1:12.524,3,Borelli Motorsports
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,2,001,Austin Harbaugh,T4MIN,3,33.34 MPH,3.583,1:16.107,2,M
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,DNS,8,Remy Boss,SWIFT,0,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,1,25,Dominic Borelli,,3,35.82 MPH,-,1:12.524,3,Borelli Motorsports
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,2,001,Austin Harbaugh,,3,33.34 MPH,3.583,1:16.107,2,M
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,DNS,8,Remy Boss,,0,,,,,
Round 6,2025-10-18,T4 Junior,Q,1,53,Anna Mccrone,,3,39.96 MPH,,1:06.922,1,
Round 6,2025-10-18,T4 Junior,Q,2,80,Ashlyn Taylor,,3,39.88 MPH,0.291,1:07.213,1,M
Round 6,2025-10-18,T4 Junior,Q,3,18,Kristopher Mccrone,,3,39.47 MPH,0.642,1:07.564,1,
Round 6,2025-10-18,T4 Junior,Q,4,899,Lucas Grucella,,3,39.48 MPH,0.741,1:07.663,3,
Round 6,2025-10-18,T4 Junior,Q,5,3,Foster Smith,,3,38.75 MPH,2.037,1:08.959,3,
Round 6,2025-10-18,2-Stroke,Q,1,44,Giovanni Blackerby,JRMAX,3,43.01 MPH,,1:02.029,3,M
Round 6,2025-10-18,2-Stroke,Q,2,887,William Richard,KAJR,3,42.71 MPH,0.631,1:02.660,3,Privateer
Round 6,2025-10-18,2-Stroke,Q,3,8,Remy Boss,SWIFT,3,38.92 MPH,6.547,1:08.576,2,
Round 6,2025-10-18,2-Stroke,Q,4,154,Curtis Ziegler,KA-385,3,38.04 MPH,8.073,1:10.102,2,Ziegler Racing
Round 6,2025-10-18,2-Stroke,Q,DNS,27,Colin Schreiber,JRMAX,0,,,,,M
Round 6,2025-10-18,2-Stroke,Q,1,44,Giovanni Blackerby,,3,43.01 MPH,-,1:02.029,3,M
Round 6,2025-10-18,2-Stroke,Q,DNS,27,Colin Schreiber,,0,,,,,M
Round 6,2025-10-18,2-Stroke,Q,1,887,William Richard,,3,42.71 MPH,-,1:02.660,3,Privateer
Round 6,2025-10-18,2-Stroke,Q,1,8,Remy Boss,,3,38.92 MPH,-,1:08.576,2,
Round 6,2025-10-18,2-Stroke,Q,1,154,Curtis Ziegler,,3,38.04 MPH,-,1:10.102,2,Ziegler Racing
Round 6,2025-10-18,Kid Kart,H1,1,3,Remy Boss,,5,24.97 MPH,,1:27.620,4,
Round 6,2025-10-18,Kid Kart,H1,2,6,Gunner Surace,,5,24.6 MPH,7.972,1:41.387,5,M
Round 6,2025-10-18,206 Mini/Cadet,H1,1,17,Anthony Ciofani,,8,35.18 MPH,,1:10.523,4,M
Round 6,2025-10-18,206 Mini/Cadet,H1,2,013,Logan Pollack,,8,35.18 MPH,0.064,1:10.489,4,Privateer
Round 6,2025-10-18,206 Mini/Cadet,H1,3,52,Harrison Bell,,8,34.85 MPH,5.904,1:11.295,7,Privateer
Round 6,2025-10-18,206 Mini/Cadet,H1,4,924,Aiden Harbaugh,,8,34.73 MPH,7.886,1:11.320,5,M
Round 6,2025-10-18,206 Mini/Cadet,H1,5,8,Remy Boss,,8,34.14 MPH,18.632,1:12.696,5,
Round 6,2025-10-18,206 Mini/Cadet,H1,6,90,Mason Maki,,8,34.13 MPH,18.837,1:12.464,3,Privateer
Round 6,2025-10-18,206 Mini/Cadet,H1,7,80,Ashlyn Taylor,,8,34.11 MPH,19.145,1:12.443,3,M
Round 6,2025-10-18,206 Mini/Cadet,H1,8,203,Weston Davis,,8,31.79 MPH,1:05.115,1:05.115,,M
Round 6,2025-10-18,206 Mini/Cadet,H1,9,82,Grayson Miller,,8,31.75 MPH,1:06.042,1:06.042,,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,1,014,Blade Fountain,206SR,10,35.14 MPH,,1:08.095,3,KartKru
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,2,777,James Stropko iv,206SR,10,34.52 MPH,13.713,1:09.835,8,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,3,488,Scott Smith,T4-380,10,34.51 MPH,13.926,1:08.461,10,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,4,117,Galvin Dovgan,206SR,10,34.26 MPH,19.528,1:09.975,5,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,5,16,Kyle Davis,206-390,10,34.13 MPH,22.728,1:10.308,6,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,6,444,Brandon Bell,206-390,10,34.12 MPH,22.874,1:10.268,9,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,7,022,Christopher Jones,206SR,10,34.04 MPH,24.582,1:10.254,8,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,8,074,Robert Cottell,206-390,10,33.92 MPH,27.524,1:10.871,5,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,9,32,Alex Cullenen,206-390,10,33.9 MPH,27.879,1:10.713,10,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,10,26,Rocker Smith,206-390,10,32.8 MPH,54.584,1:13.622,10,Octane racing
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,11,339,Cj Karnik,206-390,10,31.51 MPH,1:28.013,1:28.013,,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,12,314,Chad Karnik,206-390,9,32.43 MPH,1 Lap,1:12.646,6,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,13,721,Cameron Dovgan,206-390,9,32.42 MPH,1 Lap,1:13.289,9,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,1,014,Blade Fountain,,10,35.14 MPH,-,1:08.095,3,KartKru
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,2,777,James Stropko iv,,10,34.52 MPH,13.713,1:09.835,8,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,3,117,Galvin Dovgan,,10,34.26 MPH,19.528,1:09.975,5,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,4,022,Christopher Jones,,10,34.04 MPH,24.582,1:10.254,8,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,1,488,Scott Smith,,10,34.51 MPH,-,1:08.461,10,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,1,16,Kyle Davis,,10,34.13 MPH,-,1:10.308,6,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,2,444,Brandon Bell,,10,34.12 MPH,0.146,1:10.268,9,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,3,074,Robert Cottell,,10,33.92 MPH,4.796,1:10.871,5,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,4,32,Alex Cullenen,,10,33.9 MPH,5.151,1:10.713,10,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,5,26,Rocker Smith,,10,32.8 MPH,31.856,1:13.622,10,Octane racing
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,6,339,Cj Karnik,,10,31.51 MPH,1:05.285,1:05.285,,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,7,314,Chad Karnik,,9,32.43 MPH,1 Lap,1:12.646,6,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,8,721,Cameron Dovgan,,9,32.42 MPH,1 Lap,1:13.289,9,Privateer
Round 6,2025-10-18,206 Junior,H1,1,54,Gavin Patterson,,10,36.55 MPH,,1:09.918,8,M
Round 6,2025-10-18,206 Junior,H1,2,43,Liam Sellery,,10,35.87 MPH,13.967,1:10.994,8,Privateer
Round 6,2025-10-18,T4 Mini/Swift Mini,H1,1,8,Remy Boss,SWIFT,8,32.92 MPH,,1:08.381,8,
Round 6,2025-10-18,T4 Mini/Swift Mini,H1,2,25,Dominic Borelli,T4MIN,8,30.96 MPH,41.203,1:12.852,3,Borelli Motorsports
Round 6,2025-10-18,T4 Mini/Swift Mini,H1,3,001,Austin Harbaugh,T4MIN,7,27.5 MPH,1 Lap,1:21.501,6,M
Round 6,2025-10-18,T4 Mini/Swift Mini,H1,1,8,Remy Boss,,8,32.92 MPH,-,1:08.381,8,
Round 6,2025-10-18,T4 Mini/Swift Mini,H1,1,25,Dominic Borelli,,8,30.96 MPH,-,1:12.852,3,Borelli Motorsports
Round 6,2025-10-18,T4 Mini/Swift Mini,H1,2,001,Austin Harbaugh,,7,27.5 MPH,1 Lap,1:21.501,6,M
Round 6,2025-10-18,T4 Junior,H1,1,18,Kristopher Mccrone,,10,39.53 MPH,,1:07.624,10,
Round 6,2025-10-18,T4 Junior,H1,2,80,Ashlyn Taylor,,10,39.42 MPH,1.979,1:07.538,4,M
Round 6,2025-10-18,T4 Junior,H1,3,53,Anna Mccrone,,10,39.4 MPH,2.175,1:07.657,7,
Round 6,2025-10-18,T4 Junior,H1,4,899,Lucas Grucella,,10,39.34 MPH,3.341,1:07.637,5,
Round 6,2025-10-18,T4 Junior,H1,5,3,Foster Smith,,1,37.81 MPH,9 Laps,1:10.477,1,
Round 6,2025-10-18,2-Stroke,H1,1,44,Giovanni Blackerby,JRMAX,10,38.46 MPH,,1:02.153,10,M
Round 6,2025-10-18,2-Stroke,H1,2,27,Colin Schreiber,JRMAX,10,38.34 MPH,2.216,1:02.495,8,M
Round 6,2025-10-18,2-Stroke,H1,3,887,William Richard,KAJR,10,38.31 MPH,2.708,1:02.548,2,Privateer
Round 6,2025-10-18,2-Stroke,H1,4,154,Curtis Ziegler,KA-385,9,34.32 MPH,1 Lap,1:08.960,8,Ziegler Racing
Round 6,2025-10-18,2-Stroke,H1,1,44,Giovanni Blackerby,,10,38.46 MPH,-,1:02.153,10,M
Round 6,2025-10-18,2-Stroke,H1,2,27,Colin Schreiber,,10,38.34 MPH,2.216,1:02.495,8,M
Round 6,2025-10-18,2-Stroke,H1,1,887,William Richard,,10,38.31 MPH,-,1:02.548,2,Privateer
Round 6,2025-10-18,2-Stroke,H1,1,154,Curtis Ziegler,,9,34.32 MPH,-,1:08.960,8,Ziegler Racing
Round 6,2025-10-18,Kid Kart,H2,1,3,Remy Boss,,4,27.64 MPH,,1:27.013,3,
Round 6,2025-10-18,Kid Kart,H2,2,6,Gunner Surace,,2,19.98 MPH,2 Laps,1:45.796,1,M
Round 6,2025-10-18,206 Mini/Cadet,H2,1,17,Anthony Ciofani,,6,31.33 MPH,,1:10.590,5,M
Round 6,2025-10-18,206 Mini/Cadet,H2,2,013,Logan Pollack,,6,31.2 MPH,2.103,1:10.812,2,Privateer
Round 6,2025-10-18,206 Mini/Cadet,H2,3,8,Remy Boss,,6,31.15 MPH,3.027,1:11.834,6,
Round 6,2025-10-18,206 Mini/Cadet,H2,4,52,Harrison Bell,,6,31.11 MPH,3.657,1:10.757,5,Privateer
Round 6,2025-10-18,206 Mini/Cadet,H2,5,90,Mason Maki,,6,30.28 MPH,17.733,1:12.907,6,Privateer
Round 6,2025-10-18,206 Mini/Cadet,H2,6,80,Ashlyn Taylor,,6,29.95 MPH,23.699,1:14.499,2,M
Round 6,2025-10-18,206 Mini/Cadet,H2,7,82,Grayson Miller,,6,28.96 MPH,42.107,1:16.208,2,M
Round 6,2025-10-18,206 Mini/Cadet,H2,8,203,Weston Davis,,4,27.83 MPH,2 Laps,1:15.331,2,M
Round 6,2025-10-18,206 Mini/Cadet,H2,9,924,Aiden Harbaugh,,4,27.82 MPH,2 Laps,1:14.481,2,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,1,014,Blade Fountain,206SR,8,35.54 MPH,,1:08.031,6,KartKru
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,2,488,Scott Smith,T4-380,8,35.48 MPH,1.087,1:08.169,8,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,3,777,James Stropko iv,206SR,8,35.43 MPH,1.896,1:08.483,6,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,4,117,Galvin Dovgan,206SR,8,35.03 MPH,8.776,1:09.761,6,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,5,16,Kyle Davis,206-390,8,34.73 MPH,14.128,1:10.385,6,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,6,32,Alex Cullenen,206-390,8,34.71 MPH,14.533,1:10.496,3,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,7,444,Brandon Bell,206-390,8,34.32 MPH,21.597,1:10.536,4,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,8,022,Christopher Jones,206SR,8,34.12 MPH,25.181,1:10.815,4,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,9,074,Robert Cottell,206-390,8,33.82 MPH,30.795,1:11.194,5,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,10,26,Rocker Smith,206-390,8,33.23 MPH,42.125,1:13.396,7,Octane racing
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,11,314,Chad Karnik,206-390,8,33.2 MPH,42.694,1:13.245,5,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,12,339,Cj Karnik,206-390,8,32.89 MPH,48.661,1:15.069,7,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,DNS,721,Cameron Dovgan,206-390,0,,,,,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,1,014,Blade Fountain,,8,35.54 MPH,-,1:08.031,6,KartKru
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,2,777,James Stropko iv,,8,35.43 MPH,1.896,1:08.483,6,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,3,117,Galvin Dovgan,,8,35.03 MPH,8.776,1:09.761,6,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,4,022,Christopher Jones,,8,34.12 MPH,25.181,1:10.815,4,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,1,488,Scott Smith,,8,35.48 MPH,-,1:08.169,8,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,1,16,Kyle Davis,,8,34.73 MPH,-,1:10.385,6,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,2,32,Alex Cullenen,,8,34.71 MPH,0.405,1:10.496,3,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,3,444,Brandon Bell,,8,34.32 MPH,7.469,1:10.536,4,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,4,074,Robert Cottell,,8,33.82 MPH,16.667,1:11.194,5,Privateer
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,5,26,Rocker Smith,,8,33.23 MPH,27.997,1:13.396,7,Octane racing
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,6,314,Chad Karnik,,8,33.2 MPH,28.566,1:13.245,5,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,7,339,Cj Karnik,,8,32.89 MPH,34.533,1:15.069,7,M
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,DNS,721,Cameron Dovgan,,0,,,,,Privateer
Round 6,2025-10-18,206 Junior,H2,1,54,Gavin Patterson,,8,38.06 MPH,,1:09.609,4,M
Round 6,2025-10-18,206 Junior,H2,2,43,Liam Sellery,,8,37.12 MPH,14.431,1:11.503,7,Privateer
Round 6,2025-10-18,T4 Mini/Swift Mini,H2,1,8,Remy Boss,SWIFT,5,34.03 MPH,,1:07.220,1,
Round 6,2025-10-18,T4 Mini/Swift Mini,H2,2,001,Austin Harbaugh,T4MIN,5,29.22 MPH,1:04.885,1:04.885,,M
Round 6,2025-10-18,T4 Mini/Swift Mini,H2,3,25,Dominic Borelli,T4MIN,4,26.88 MPH,1 Lap,1:15.007,1,Borelli Motorsports
Round 6,2025-10-18,T4 Mini/Swift Mini,H2,1,8,Remy Boss,,5,34.03 MPH,-,1:07.220,1,
Round 6,2025-10-18,T4 Mini/Swift Mini,H2,1,001,Austin Harbaugh,,5,29.22 MPH,-,1:17.145,1,M
Round 6,2025-10-18,T4 Mini/Swift Mini,H2,2,25,Dominic Borelli,,4,26.88 MPH,1 Lap,1:15.007,1,Borelli Motorsports
Round 6,2025-10-18,T4 Junior,H2,1,18,Kristopher Mccrone,,8,34.89 MPH,,1:07.330,7,
Round 6,2025-10-18,T4 Junior,H2,2,3,Foster Smith,,8,34.57 MPH,5.677,1:08.927,6,
Round 6,2025-10-18,T4 Junior,H2,3,80,Ashlyn Taylor,,8,34.56 MPH,5.859,1:08.821,8,M
Round 6,2025-10-18,T4 Junior,H2,4,53,Anna Mccrone,,8,34.55 MPH,6.001,1:08.935,3,
Round 6,2025-10-18,T4 Junior,H2,5,899,Lucas Grucella,,8,33.99 MPH,16.196,1:08.060,7,
Round 6,2025-10-18,2-Stroke,H2,1,44,Giovanni Blackerby,JRMAX,8,38.18 MPH,,1:01.193,7,M
Round 6,2025-10-18,2-Stroke,H2,2,887,William Richard,KAJR,8,37.39 MPH,11.854,1:02.654,6,Privateer
Round 6,2025-10-18,2-Stroke,H2,3,154,Curtis Ziegler,KA-385,8,34.8 MPH,54.629,1:07.578,3,Ziegler Racing
Round 6,2025-10-18,2-Stroke,H2,4,27,Colin Schreiber,JRMAX,1,20.27 MPH,7 Laps,1:04.260,1,M
Round 6,2025-10-18,2-Stroke,H2,1,44,Giovanni Blackerby,,8,38.18 MPH,-,1:01.193,7,M
Round 6,2025-10-18,2-Stroke,H2,2,27,Colin Schreiber,,1,20.27 MPH,7 Laps,1:04.260,1,M
Round 6,2025-10-18,2-Stroke,H2,1,887,William Richard,,8,37.39 MPH,-,1:02.654,6,Privateer
Round 6,2025-10-18,2-Stroke,H2,1,154,Curtis Ziegler,,8,34.8 MPH,-,1:07.578,3,Ziegler Racing
Round 6,2025-10-18,206 Mini/Cadet,F,1,17,Anthony Ciofani,,8,32.98 MPH,,1:10.416,4,M
Round 6,2025-10-18,206 Mini/Cadet,F,2,52,Harrison Bell,,8,32.8 MPH,3.558,1:10.265,7,Privateer
Round 6,2025-10-18,206 Mini/Cadet,F,3,013,Logan Pollack,,8,32.8 MPH,3.676,1:10.247,4,Privateer
Round 6,2025-10-18,206 Mini/Cadet,F,4,90,Mason Maki,,8,32.24 MPH,14.930,1:11.729,2,Privateer
Round 6,2025-10-18,206 Mini/Cadet,F,5,80,Ashlyn Taylor,,8,32.22 MPH,15.353,1:11.785,6,M
Round 6,2025-10-18,206 Mini/Cadet,F,6,924,Aiden Harbaugh,,8,32.2 MPH,15.716,1:11.949,2,M
Round 6,2025-10-18,206 Mini/Cadet,F,7,203,Weston Davis,,8,30.33 MPH,56.900,1:15.433,8,M
Round 6,2025-10-18,206 Mini/Cadet,F,8,82,Grayson Miller,,8,30.29 MPH,57.747,1:15.929,7,M
Round 6,2025-10-18,206 Mini/Cadet,F,DNS,8,Remy Boss,,0,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,1,014,Blade Fountain,206SR,10,32.86 MPH,,1:07.818,6,KartKru
Round 6,2025-10-18,206/T4 Senior/Masters,F,2,777,James Stropko iv,206SR,10,32.85 MPH,0.198,1:07.878,5,
Round 6,2025-10-18,206/T4 Senior/Masters,F,3,488,Scott Smith,T4-380,10,32.54 MPH,7.886,1:07.900,7,M
Round 6,2025-10-18,206/T4 Senior/Masters,F,4,117,Galvin Dovgan,206SR,10,32.07 MPH,20.053,1:09.614,3,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,F,5,16,Kyle Davis,206-390,10,31.72 MPH,29.459,1:10.567,10,M
Round 6,2025-10-18,206/T4 Senior/Masters,F,6,32,Alex Cullenen,206-390,10,31.58 MPH,32.965,1:10.792,6,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,F,7,074,Robert Cottell,206-390,10,31.56 MPH,33.692,1:10.664,6,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,F,8,022,Christopher Jones,206SR,10,31.17 MPH,44.262,1:11.125,2,
Round 6,2025-10-18,206/T4 Senior/Masters,F,9,26,Rocker Smith,206-390,10,30.86 MPH,52.950,1:12.488,2,Octane racing
Round 6,2025-10-18,206/T4 Senior/Masters,F,10,314,Chad Karnik,206-390,10,30.84 MPH,53.363,1:12.719,4,M
Round 6,2025-10-18,206/T4 Senior/Masters,F,11,339,Cj Karnik,206-390,10,30.26 MPH,1:10.206,1:10.206,,M
Round 6,2025-10-18,206/T4 Senior/Masters,F,DNS,444,Brandon Bell,206-390,0,,,,,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,F,DNS,721,Cameron Dovgan,206-390,0,,,,,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,F,1,014,Blade Fountain,,10,32.86 MPH,-,1:07.818,6,KartKru
Round 6,2025-10-18,206/T4 Senior/Masters,F,2,777,James Stropko iv,,10,32.85 MPH,0.198,1:07.878,5,
Round 6,2025-10-18,206/T4 Senior/Masters,F,3,117,Galvin Dovgan,,10,32.07 MPH,20.053,1:09.614,3,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,F,4,022,Christopher Jones,,10,31.17 MPH,44.262,1:11.125,2,
Round 6,2025-10-18,206/T4 Senior/Masters,F,1,488,Scott Smith,,10,32.54 MPH,-,1:07.900,7,M
Round 6,2025-10-18,206/T4 Senior/Masters,F,1,16,Kyle Davis,,10,31.72 MPH,-,1:10.567,10,M
Round 6,2025-10-18,206/T4 Senior/Masters,F,2,32,Alex Cullenen,,10,31.58 MPH,3.506,1:10.792,6,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,F,3,074,Robert Cottell,,10,31.56 MPH,4.233,1:10.664,6,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,F,4,26,Rocker Smith,,10,30.86 MPH,23.491,1:12.488,2,Octane racing
Round 6,2025-10-18,206/T4 Senior/Masters,F,5,314,Chad Karnik,,10,30.84 MPH,23.904,1:12.719,4,M
Round 6,2025-10-18,206/T4 Senior/Masters,F,6,339,Cj Karnik,,10,30.26 MPH,40.747,1:14.522,9,M
Round 6,2025-10-18,206/T4 Senior/Masters,F,DNS,444,Brandon Bell,,0,,,,,Privateer
Round 6,2025-10-18,206/T4 Senior/Masters,F,DNS,721,Cameron Dovgan,,0,,,,,Privateer
Round 6,2025-10-18,T4/Swift Mini,F,1,8,Remy Boss,SWIFT,8,33.09 MPH,,1:07.816,4,
Round 6,2025-10-18,T4/Swift Mini,F,2,25,Dominic Borelli,T4MIN,8,30.78 MPH,48.649,1:13.285,4,Borelli Motorsports
Round 6,2025-10-18,T4/Swift Mini,F,3,001,Austin Harbaugh,T4MIN,7,28.7 MPH,1 Lap,1:17.639,2,M
Round 6,2025-10-18,T4/Swift Mini,F,1,8,Remy Boss,,8,33.09 MPH,-,1:07.816,4,
Round 6,2025-10-18,T4/Swift Mini,F,1,25,Dominic Borelli,,8,30.78 MPH,-,1:13.285,4,Borelli Motorsports
Round 6,2025-10-18,T4/Swift Mini,F,2,001,Austin Harbaugh,,7,28.7 MPH,1 Lap,1:17.639,2,M
Round 6,2025-10-18,206/T4 Junior,F,1,53,Anna Mccrone,T4JR,10,35.4 MPH,,1:06.751,5,
Round 6,2025-10-18,206/T4 Junior,F,2,18,Kristopher Mccrone,T4JR,10,35.35 MPH,0.986,1:06.895,9,
Round 6,2025-10-18,206/T4 Junior,F,3,80,Ashlyn Taylor,T4JR,10,35.34 MPH,1.239,1:06.698,6,M
Round 6,2025-10-18,206/T4 Junior,F,4,899,Lucas Grucella,T4JR,10,35.16 MPH,5.194,1:07.418,5,
Round 6,2025-10-18,206/T4 Junior,F,5,3,Foster Smith,T4JR,10,33.97 MPH,31.952,1:10.161,5,
Round 6,2025-10-18,206/T4 Junior,F,6,54,Gavin Patterson,206JR,10,33.89 MPH,33.681,1:09.661,6,M
Round 6,2025-10-18,206/T4 Junior,F,DNS,43,Liam Sellery,206JR,0,,,,,Privateer
Round 6,2025-10-18,206/T4 Junior,F,1,53,Anna Mccrone,,10,35.4 MPH,-,1:06.751,5,
Round 6,2025-10-18,206/T4 Junior,F,2,18,Kristopher Mccrone,,10,35.35 MPH,0.986,1:06.895,9,
Round 6,2025-10-18,206/T4 Junior,F,3,80,Ashlyn Taylor,,10,35.34 MPH,1.239,1:06.698,6,M
Round 6,2025-10-18,206/T4 Junior,F,4,899,Lucas Grucella,,10,35.16 MPH,5.194,1:07.418,5,
Round 6,2025-10-18,206/T4 Junior,F,5,3,Foster Smith,,10,33.97 MPH,31.952,1:10.161,5,
Round 6,2025-10-18,206/T4 Junior,F,1,54,Gavin Patterson,,10,33.89 MPH,-,1:09.661,6,M
Round 6,2025-10-18,206/T4 Junior,F,DNS,43,Liam Sellery,,0,,,,,Privateer
Round 6,2025-10-18,2-Stroke,F,1,44,Giovanni Blackerby,JRMAX,10,39.47 MPH,,1:01.195,7,M
Round 6,2025-10-18,2-Stroke,F,2,27,Colin Schreiber,JRMAX,10,38.67 MPH,14.011,1:02.448,2,M
Round 6,2025-10-18,2-Stroke,F,3,887,William Richard,KAJR,10,38.64 MPH,14.556,1:02.369,2,Privateer
Round 6,2025-10-18,2-Stroke,F,4,154,Curtis Ziegler,KA-385,9,35.51 MPH,1 Lap,1:07.541,8,Ziegler Racing
Round 6,2025-10-18,2-Stroke,F,1,44,Giovanni Blackerby,,10,39.47 MPH,-,1:01.195,7,M
Round 6,2025-10-18,2-Stroke,F,2,27,Colin Schreiber,,10,38.67 MPH,14.011,1:02.448,2,M
Round 6,2025-10-18,2-Stroke,F,1,887,William Richard,,10,38.64 MPH,-,1:02.369,2,Privateer
Round 6,2025-10-18,2-Stroke,F,1,154,Curtis Ziegler,,9,35.51 MPH,-,1:07.541,8,Ziegler Racing
